"id","AreaName","ParentName","GazeObject","startKeyframe","endKeyframe","duration","eventType","AreaCode"
1,"OfficeSet","OfficeTableDrawer","BookStack7OfficeTableDrawer1,",16070,16110,40,2,"C18"
1,"OfficeSet","OfficeChairGroup","OfficeChair",16120,16173,53,2,"C7"
1,"OfficeSet","OfficeTableDrawer","OfficeTableDrawer1",16178,16211,33,2,"C18"
1,"OfficeSet","OfficeDeskSurface","OtherPlantBoxOtherPlant1,",16262,16302,40,2,"C6"
1,"OfficeSet","OfficeChairGroup","Plant3OfficeChair,Plant3,OfficeChair,ComputerCase,",16314,16351,37,2,"C7"
1,"OfficeSet","OfficeTableDrawer","OfficeTableDrawer1BookStack7,OfficeTableDrawer1,",16352,16393,41,2,"C18"
1,"BookShelfArea","ChairGroup","PlantC1",16563,16597,34,2,"D15"
1,"OfficeSet","OfficeTableDrawer","OfficeTableDrawer1BookStack7,OfficeTableDrawer2,BookStack7,OfficeTableDrawer2,OfficeTableDrawer1,OfficeTableDrawer2,OfficeTableDrawer1,OfficeTableDrawer1,OfficeTableDrawer1,OfficeTableDrawer1OfficeTableDrawer2,,OfficeTableDrawer3,OfficeTableDrawer2BookStack7,OfficeTableDrawer2,BookStack7,,",16621,17334,643,2,"C18"
1,"LongTableArea","UnderLongTable","PlantC3",17371,17409,38,2,"B2"
1,"OfficeSet","BookStack","Books3Books2,Books1,",17409,17474,65,2,"C5"
1,"OfficeSet","OfficeChairGroup","OfficeChairPlant3,",17508,17540,32,2,"C7"
1,"OfficeSet","BookStack","Books2Books1,",17705,17737,32,2,"C5"
1,"LongTableArea","UnderLongTable","PaperbagPlantC3Paperbag,Paperbag,Paperbag,Paperbag,Paperbag,OtherPlant3,Paperbag,Paperbag,Paperbag,,PaperbagPaperbag,Paperbag,Paperbag,,PaperbagPaperbag,Paperbag,Paperbag,Paperbag,Paperbag,Paperbag,Paperbag,Paperbag,Paperbag,Paperbag,Paperbag,Paperbag,Paperbag,,Paperbag,Paperbag,",17904,20064,1396,2,"B2"
1,"LongTableArea","LongTable","LongTable",20064,20098,34,2,"B9"
1,"LongTableArea","UnderLongTable","PaperbagPaperbag,",20119,20285,163,2,"B2"
1,"LongTableArea","LongTable","LongTable",20286,20327,41,2,"B9"
1,"LongTableArea","UnderLongTable","PaperbagPaperbag,",20358,20651,263,2,"B2"
1,"LongTableArea","LongTable","LongTable",20701,20748,47,2,"B9"
1,"LongTableArea","UnderLongTable","PaperbagPaperbagPaperbag,,",20748,20862,104,2,"B2"
1,"LongTableArea","LongTable","LongTable",20862,20892,30,2,"B9"
1,"LongTableArea","UnderLongTable","Paperbag",20892,20927,35,2,"B2"
1,"LongTableArea","LongTable","LongTableLongTable,",20927,21117,156,2,"B9"
1,"LongTableArea","UnderLongTable","Paperbag",21119,21170,51,2,"B2"
1,"LongTableArea","LongTable","LongTable",21172,21244,72,2,"B9"
1,"LongTableArea","UnderLongTable","BackpackPaperbag,Paperbag,Paperbag,Paperbag,Paperbag,OtherPlant3,",21291,21712,97,2,"B2"
2,"OfficeSet","OfficeChairGroup","OfficeChairPlant3,",8254,8290,36,2,"C7"
2,"LongTableArea","UnderLongTable","OtherPlant3",8335,8366,31,2,"B2"
2,"LongTableArea","LongTableSurface","Bookcase1Plant1,Plant1,Plant1,OtherPlant2,",8401,8468,37,2,"B4"
2,"OfficeSet","OfficeChairGroup","Plant3",8493,8524,31,2,"C7"
2,"CabinArea","LoungeChair","LoungeChairOpenBook,",8573,8604,31,2,"A1"
2,"BookShelfArea","Bookshelf","WoodenShelf",8735,8793,58,2,"D8"
2,"OfficeSet","OfficeChairGroup","Plant3OfficeChair,Plant3,BookStack6,OfficeChair,BookStack6,",8887,8922,35,2,"C7"
2,"OfficeSet","OfficeSet","OfficeTable",8922,8962,40,2,"C13"
2,"OfficeSet","OfficeChairGroup","Plant3",8962,9001,39,2,"C7"
2,"OfficeSet","OfficeDeskSurface","ComputerMonitorComputerMonitor,OtherPlantBox,OtherPlantBox,ComputerMousePack,",9003,9056,39,2,"C6"
2,"OfficeSet","OfficeChairGroup","ComputerCase",9141,9178,37,2,"C7"
2,"OfficeSet","OfficeTableDrawer","OfficeTableDrawer2OfficeTableDrawer3,OfficeTableDrawer2,OfficeTableDrawer3,OfficeTableDrawer2,OfficeTableDrawer3,OfficeTableDrawer2,OfficeTableDrawer1OfficeTableDrawer2,OfficeTableDrawer3,OfficeTableDrawer2,OfficeTableDrawer3,OfficeTableDrawer2,OfficeTableDrawer3,OfficeTableDrawer2,OfficeTableDrawer3,OfficeTableDrawer2,OfficeTableDrawer3,OfficeTableDrawer2,BookStack7,,BookStack7OfficeTableDrawer2,OfficeTableDrawer3,OfficeTableDrawer2,OfficeTableDrawer3,OfficeTableDrawer2,OfficeTableDrawer3,OfficeTableDrawer2,OfficeTableDrawer1,,OfficeTableDrawer1,",9192,10024,735,2,"C18"
