frame,gazeStartPos,
0,"[4.828931,1.74751,3.983088]",
1,"[4.827332,1.747156,3.983087]",
2,"[4.827242,1.747029,3.983086]",
3,"[4.826905,1.746561,3.983085]",
4,"[4.826632,1.746196,3.983085]",
5,"[4.82609,1.745605,3.983083]",
6,"[4.825749,1.745379,3.983083]",
7,"[4.825716,1.745376,3.983083]",
8,"[4.825526,1.745345,3.983083]",
9,"[4.824996,1.745174,3.983083]",
10,"[4.824678,1.745076,3.983082]",
11,"[4.824004,1.744852,3.983082]",
12,"[4.82363,1.744731,3.983082]",
13,"[4.823312,1.744604,3.983081]",
14,"[4.822782,1.744831,3.983082]",
15,"[4.822603,1.745102,3.983082]",
16,"[4.822277,1.745492,3.983083]",
17,"[4.822131,1.745686,3.983084]",
18,"[4.822085,1.745592,3.983083]",
19,"[4.822114,1.745564,3.983083]",
20,"[4.822404,1.7454,3.983083]",
21,"[4.822853,1.745602,3.983083]",
22,"[4.823405,1.745745,3.983084]",
23,"[4.825364,1.746218,3.983085]",
24,"[4.826921,1.74652,3.983085]",
25,"[4.82735,1.746766,3.983086]",
26,"[4.813755,1.733285,3.983058]",
27,"[4.802093,1.719472,3.983029]",
28,"[4.775982,1.704057,3.982996]",
29,"[4.765828,1.697531,3.982983]",
30,"[4.753838,1.685312,3.982957]",
31,"[4.750799,1.681038,3.982948]",
32,"[4.753744,1.672955,3.982931]",
33,"[4.755744,1.669269,3.982924]",
34,"[4.768222,1.664488,3.982913]",
35,"[4.781022,1.660763,3.982906]",
36,"[4.797659,1.656443,3.982897]",
37,"[4.803502,1.654234,3.982892]",
38,"[4.807793,1.652231,3.982888]",
39,"[4.808986,1.652504,3.982888]",
40,"[4.809049,1.652856,3.982889]",
41,"[4.808836,1.653463,3.98289]",
42,"[4.808355,1.653636,3.982891]",
43,"[4.806787,1.656032,3.982896]",
44,"[4.805542,1.658179,3.9829]",
45,"[4.80369,1.659891,3.982904]",
46,"[4.799309,1.661527,3.982907]",
47,"[4.798522,1.662481,3.982909]",
48,"[4.795754,1.662566,3.982909]",
49,"[4.793519,1.661557,3.982908]",
50,"[4.790988,1.657194,3.982898]",
51,"[4.790543,1.653721,3.982891]",
52,"[4.789386,1.649587,3.982882]",
53,"[4.78805,1.646118,3.982875]",
54,"[4.786181,1.641871,3.982866]",
55,"[4.779942,1.630499,3.982842]",
56,"[4.750893,1.558542,3.982692]",
57,"[4.730567,1.507584,3.982585]",
58,"[4.696651,1.402589,3.982365]",
59,"[4.669182,1.336034,3.982226]",
60,"[4.658507,1.31509,3.982182]",
61,"[4.650159,1.298326,3.982147]",
62,"[4.637413,1.280947,3.958529]",
63,"[4.634433,1.276835,3.953227]",
64,"[4.629571,1.270592,3.951178]",
65,"[4.627311,1.269795,3.950668]",
66,"[4.612192,1.269146,3.950253]",
67,"[4.601453,1.269455,3.95045]",
68,"[4.492395,1.334769,3.982223]",
69,"[4.442431,1.368262,3.982293]",
70,"[4.427181,1.377985,3.982314]",
71,"[4.425794,1.414931,3.982391]",
72,"[4.430807,1.430775,3.982424]",
73,"[4.439625,1.44991,3.982464]",
74,"[4.441833,1.457422,3.98248]",
75,"[4.447909,1.46356,3.982493]",
76,"[4.459105,1.473744,3.982514]",
77,"[4.464165,1.478082,3.982523]",
78,"[4.471309,1.485173,3.982538]",
79,"[4.473877,1.488127,3.982544]",
80,"[4.478561,1.493726,3.982556]",
81,"[4.481772,1.496897,3.982563]",
82,"[4.485455,1.503008,3.982575]",
83,"[4.487843,1.505072,3.98258]",
84,"[4.489357,1.506612,3.982583]",
85,"[4.490856,1.50916,3.982588]",
86,"[4.477773,1.533971,3.98264]",
87,"[4.463853,1.558627,3.982692]",
88,"[4.456828,1.583231,3.982743]",
89,"[4.45057,1.607569,3.982794]",
90,"[4.448904,1.615247,3.98281]",
91,"[4.44663,1.622527,3.982826]",
92,"[4.442926,1.632908,3.982847]",
93,"[4.4431,1.635312,3.982852]",
94,"[4.441658,1.639708,3.982862]",
95,"[4.440535,1.639625,3.982862]",
96,"[4.438828,1.638592,3.982859]",
97,"[4.438673,1.637742,3.982857]",
98,"[4.436624,1.636599,3.982855]",
99,"[4.434814,1.636784,3.982856]",
100,"[4.411559,1.660792,3.982906]",
101,"[4.378574,1.725988,3.983042]",
102,"[4.366987,1.755848,3.983105]",
103,"[4.359568,1.800592,3.983199]",
104,"[4.356396,1.816339,3.983232]",
105,"[4.356654,1.833037,3.983267]",
106,"[4.357455,1.834822,3.98327]",
107,"[4.358021,1.836542,3.983274]",
108,"[4.360243,1.838947,3.983279]",
109,"[4.361694,1.839723,3.983281]",
110,"[4.365424,1.84017,3.983282]",
111,"[4.367416,1.840956,3.983283]",
112,"[4.37158,1.842035,3.983285]",
113,"[4.374151,1.842686,3.983287]",
114,"[4.376771,1.843322,3.983288]",
115,"[4.384115,1.844899,3.983291]",
116,"[4.388603,1.845722,3.983293]",
117,"[4.406913,1.84588,3.983294]",
118,"[4.560646,1.799946,3.983197]",
119,"[4.678912,1.756612,3.983107]",
120,"[4.718021,1.740404,3.983073]",
121,"[4.763188,1.720485,3.983031]",
122,"[4.781487,1.712676,3.983015]",
123,"[4.785682,1.711413,3.983012]",
124,"[4.799271,1.710214,3.983009]",
125,"[4.80479,1.710649,3.98301]",
126,"[4.817631,1.710923,3.983011]",
127,"[4.824682,1.710565,3.98301]",
128,"[4.831255,1.709827,3.983009]",
129,"[4.831868,1.709522,3.983008]",
130,"[4.831392,1.709403,3.983008]",
131,"[4.827133,1.710082,3.983009]",
132,"[4.823326,1.711002,3.983011]",
133,"[4.815039,1.713266,3.983016]",
134,"[4.810199,1.714798,3.983019]",
135,"[4.670528,1.743384,3.983079]",
136,"[4.520056,1.769011,3.983133]",
137,"[4.44948,1.777676,3.983151]",
138,"[4.42733,1.780879,3.983157]",
139,"[4.413044,1.782337,3.98316]",
140,"[4.393222,1.785328,3.983167]",
141,"[4.38476,1.785811,3.983168]",
142,"[4.368159,1.785824,3.983168]",
143,"[4.35849,1.785838,3.983168]",
144,"[4.341966,1.782631,3.983161]",
145,"[4.335558,1.778604,3.983153]",
146,"[4.329046,1.773482,3.983142]",
147,"[4.308275,1.720037,3.98303]",
148,"[4.265978,1.526174,3.982624]",
149,"[4.249691,1.444869,3.982454]",
150,"[4.250214,1.417635,3.982397]",
151,"[4.268019,1.366618,3.98229]",
152,"[4.279756,1.342476,3.982239]",
153,"[4.294709,1.320815,3.982194]",
154,"[4.310766,1.296344,3.965772]",
155,"[4.318675,1.283837,3.958519]",
156,"[4.33817,1.207351,3.957912]",
157,"[4.345047,1.186609,3.913127]",
158,"[4.357529,1.126387,3.911954]",
