AreaName,ParentName,GazeObject,startKeyframe,endKeyframe,duration,
CabinArea,Cabin,GothicCabinet, 0,26,26,
CabinArea,Cabin,GothicCabinet, 40,49,9,
CabinArea,Cabin,GothicCabinet, 77,78,1,
BookShelfArea,Bookshelf,WoodenShelf, 85,86,1,
BookShelfArea,UpperShelf,Books13, 86,95,9,
BookShelfArea,Bookshelf,WoodenShelf, 95,97,2,
BookShelfArea,UpperShelf,book7, 97,101,4,
BookShelfArea,UpperShelf,book11, 101,106,5,
BookShelfArea,UpperShelf,book6, 106,117,11,
BookShelfArea,UpperShelf,book3, 117,142,25,
BookShelfArea,UpperShelf,book6, 142,155,13,
BookShelfArea,UpperShelf,book3, 155,174,19,
BookShelfArea,UpperShelf,book6, 174,193,19,
BookShelfArea,UpperShelf,book6, 204,230,26,
BookShelfArea,UpperShelf,book11, 230,231,1,
BookShelfArea,UpperShelf,book6, 231,234,3,
BookShelfArea,UpperShelf,book11, 234,250,16,
BookShelfArea,UpperShelf,book11, 260,282,22,
BookShelfArea,UpperShelf,book7, 282,285,3,
BookShelfArea,UpperShelf,book11, 285,286,1,
BookShelfArea,UpperShelf,book7, 286,309,23,
BookShelfArea,UpperShelf,book7, 312,325,13,
BookShelfArea,Bookshelf,WoodenShelf, 325,335,10,
BookShelfArea,UpperShelf,Books13, 335,393,58,
BookShelfArea,UpperShelf,Books12, 393,415,22,
BookShelfArea,UpperShelf,Books13, 415,442,27,
BookShelfArea,UpperShelf,Books13, 443,462,19,
BookShelfArea,UpperShelf,Books13, 481,484,3,
BookShelfArea,Bookshelf,WoodenShelf, 485,492,7,
BookShelfArea,UpperShelf,Books15, 492,521,29,
BookShelfArea,UpperShelf,book8, 521,522,1,
BookShelfArea,UpperShelf,Books15, 522,536,14,
BookShelfArea,UpperShelf,book8, 536,551,15,
BookShelfArea,Bookshelf,WoodenShelf, 551,587,36,
BookShelfArea,UpperShelf,Books15, 587,617,30,
BookShelfArea,UpperShelf,Books16, 617,627,10,
BookShelfArea,UpperShelf,Books16, 670,677,7,
BookShelfArea,UpperShelf,Books15, 677,688,11,
BookShelfArea,Bookshelf,WoodenShelf, 688,691,3,
BookShelfArea,UpperShelf,Bookcase, 691,769,78,
BookShelfArea,UpperShelf,Bookcase, 799,806,7,
BookShelfArea,Bookshelf,WoodenShelf, 806,812,6,
BookShelfArea,UpperShelf,Bookcase, 813,821,8,
BookShelfArea,Bookshelf,WoodenShelf, 821,822,1,
BookShelfArea,UpperShelf,Paperbag, 822,824,2,
BookShelfArea,Bookshelf,WoodenShelf, 824,827,3,
BookShelfArea,UpperShelf,Kettle, 830,833,3,
BookShelfArea,UpperShelf,DeskPlant4, 833,836,3,
BookShelfArea,UpperShelf,Kettle, 836,841,5,
BookShelfArea,Bookshelf,WoodenShelf, 841,845,4,
BookShelfArea,LowerShelf,Plant2, 845,858,13,
BookShelfArea,Bookshelf,WoodenShelf, 861,903,42,
BookShelfArea,LowerShelf,Book9, 928,956,28,
BookShelfArea,Bookshelf,WoodenShelf, 960,966,6,
BookShelfArea,LowerShelf,Plant2, 966,1062,96,
BookShelfArea,Bookshelf,WoodenShelf, 1062,1105,43,
BookShelfArea,LowerShelf,Plant2, 1105,1118,13,
